Q1. Consent to participate,Q2.What is your current year of study?,Q3. What is your gender?,Q4.What is your department?,Q5. I trust the AI tutor to give me accurate answers about my course content.,"
Q6. I would use the Nyansapo AI tutor to prepare for my end-of-semester exams",Q7. I feel confident that the AI tutor's answers come directly from my KNUST lecture notes.,Q8. I would recommend this AI tutor to my classmates.,Q9. The AI tutor helped me find information faster than searching through my lecture slides manually,Q10. Seeing the source passage highlighted alongside the answer made me trust the response more.,Q11. I felt the AI tutor understood the intent of my question.,Q12. How mentally demanding was it to find the information you needed using the AI tutor?*,Q13. How hard did you have to work to arrive at the answer you were looking for?,Q14. How frustrated did you feel while searching for answers with the AI tutor?
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Female,Computer Science,4,4,4,4,4,4,4,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",1st year,Female,Computer Science,5,5,5,5,5,5,5,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",2nd year,Male,Mechanical Engineering,3,3,3,3,3,3,3,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Male,Computer Science,5,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",2nd year,Female,Computer Science,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",1st year,Male,Chemistry,5,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Chemistry,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,4,4,4,4,4,4,4,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Male,Computer Science,3,3,3,3,3,3,3,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Male,Electrical/Electronic Engineering,4,4,4,4,4,4,4,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Male,Computer Science,4,4,4,4,4,4,4,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Chemical Engineering,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",2nd year,Female,Economics,5,5,5,5,5,5,5,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,5,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",1st year,Male,Geological Engineering,5,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,3,3,3,3,3,3,3,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Architecture,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Agricultural Engineering,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,4,4,4,4,4,4,4,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",2nd year,Male,Computer Engineering,5,5,5,5,5,5,5,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Male,Computer Science,3,3,3,3,3,3,3,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Male,Agricultural Engineering,3,3,3,3,3,3,3,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,4,4,4,4,4,4,4,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Mathematics,4,4,4,4,4,4,4,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,4,4,4,4,4,4,4,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,4,4,4,4,4,4,4,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,3,3,3,3,3,3,3,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Statistics,4,4,4,4,4,4,4,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",2nd year,Female,Mathematics,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Agricultural Engineering,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,4,4,4,4,4,4,4,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Geography and Rural Development,5,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Land Economy,3,3,3,3,3,3,3,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",2nd year,Female,Computer Science,5,5,5,5,5,5,5,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,4,4,4,4,4,4,4,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Male,Architecture,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,5,5,5,5,5,5,5,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Engineering,4,4,4,4,4,4,4,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,4,4,4,4,4,4,4,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,3,3,3,3,3,3,3,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,5,5,5,5,5,5,5,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Biomedical Engineering,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Male,Computer Engineering,3,3,3,3,3,3,3,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Agricultural Engineering,5,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",1st year,Male,Computer Science,3,3,3,3,3,3,3,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,4,4,4,4,4,4,4,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,4,4,4,4,4,4,4,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,5,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",2nd year,Male,Computer Science,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",2nd year,Female,Computer Science,3,3,3,3,3,3,3,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,5,5,5,5,5,5,5,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,4,4,4,4,4,4,4,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Nursing,5,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Statistics,5,5,5,5,5,5,5,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,4,4,4,4,4,4,4,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Building Technology,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,3,3,3,3,3,3,3,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,3,3,3,3,3,3,3,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Female,Computer Science,4,4,4,4,4,4,4,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Mathematics,5,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",2nd year,Female,Computer Science,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",1st year,Male,Computer Science,5,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,4,4,4,4,4,4,4,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Chemical Engineering,4,4,4,4,4,4,4,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,5,5,5,5,5,5,5,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,4,4,4,4,4,4,4,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,4,4,4,4,4,4,4,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,3,3,3,3,3,3,3,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Hospitality and Tourism Management,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,4,4,4,4,4,4,4,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Male,Computer Science,4,4,4,4,4,4,4,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Building Technology,5,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",1st year,Male,Computer Science,3,3,3,3,3,3,3,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Electrical/Electronic Engineering,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Female,Mathematics,3,3,3,3,3,3,3,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,4,4,4,4,4,4,4,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Hospitality and Tourism Management,4,4,4,4,4,4,4,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Hospitality and Tourism Management,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Male,Computer Science,5,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",2nd year,Female,Computer Science,5,5,5,5,5,5,5,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,5,5,5,5,5,5,5,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Medicine,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Economics,4,4,4,4,4,4,4,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",1st year,Male,Geography and Rural Development,3,3,3,3,3,3,3,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,3,3,3,3,3,3,3,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,4,4,4,4,4,4,4,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Male,Computer Science,4,4,4,4,4,4,4,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,3,3,3,3,3,3,3,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Female,Computer Science,4,4,4,4,4,4,4,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",2nd year,Female,Computer Science,3,3,3,3,3,3,3,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Hospitality and Tourism Management,5,5,5,5,5,5,5,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Electrical/Electronic Engineering,4,4,4,4,4,4,4,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Mathematics,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Female,Computer Science,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",1st year,Female,Computer Science,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Medicine,4,3,3,4,5,5,3,2,3,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,5,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,4,4,4,4,4,4,4,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",2nd year,Female,Computer Science,3,3,3,3,3,3,3,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",2nd year,Male,Computer Science,3,3,3,3,3,3,3,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,4,4,4,4,4,4,4,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,3,3,3,3,3,3,3,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",1st year,Male,Computer Science,3,3,3,3,3,3,3,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Chemistry,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Petroleum Engineering,5,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,5,5,5,5,5,5,5,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,4,4,4,4,4,4,4,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,5,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Petroleum Engineering,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Female,Chemical Engineering,3,3,3,3,3,3,3,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,4,4,4,4,4,4,4,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,4,4,4,4,4,4,4,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Male,Computer Science,4,4,4,4,4,4,4,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,5,5,5,5,5,5,5,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,3,3,3,3,3,3,3,3,3,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer Science,4,4,4,4,4,4,4,3,3,3
